model_type,misclass_mean,misclass_std,det_acc_mean,det_acc_std,overall_acc_mean,overall_acc_std,total_determiner_preds,total_preds
0,0.32038359691380097,0.04478815604367567,0.5539164322723868,0.03372399109892116,0.3480002526246242,0.03257261438841544,13495,21187
25,0.3560356859025157,0.0353045737700733,0.6482136172749923,0.02785995976217784,0.41277949285067334,0.030739719219003495,11064,17201
50,0.42942754636406805,0.05673893591933192,0.6848737761914737,0.0368083246552562,0.4383871544637519,0.03985537233287228,8548,13181
75,0.44790955301702035,0.07134686361207657,0.6706026830220432,0.040349624657582336,0.4231184297782893,0.060371752004936045,5948,9199
100,0.35788073794091946,0.02168920545485572,0.7223153761696697,0.03174043246699123,0.4567712974478422,0.035881862430750734,3389,5290
